,Name,Total Pop,White Pop,Black Pop,Household Type,Computer,State,County,Tract,Block Group
4439,"Block Group 1, Census Tract 4003, Goochland County, Virginia",969,412,544,42,57,51,075,400300,1
4440,"Block Group 3, Census Tract 4002, Goochland County, Virginia",933,151,747,369,756,51,075,400200,3
4441,"Block Group 1, Census Tract 9012.12, Prince William County, Virginia",1881,327,1337,457,1881,51,153,901212,1
4442,"Block Group 2, Census Tract 9012.21, Prince William County, Virginia",1245,204,840,416,1226,51,153,901221,2
4443,"Block Group 1, Census Tract 3211, Hanover County, Virginia",2128,192,1936,953,2060,51,085,321100,1
4444,"Block Group 2, Census Tract 3202, Hanover County, Virginia",1726,333,1393,691,1419,51,085,320200,2
4445,"Block Group 1, Census Tract 3206.02, Hanover County, Virginia",1507,106,1320,685,1468,51,085,320602,1
4446,"Block Group 2, Census Tract 2118, Portsmouth city, Virginia",845,693,127,321,644,51,740,211800,2
4447,"Block Group 2, Census Tract 2126, Portsmouth city, Virginia",597,226,371,164,592,51,740,212600,2
4448,"Block Group 1, Census Tract 2131.03, Portsmouth city, Virginia",459,114,345,248,459,51,740,213103,1
4449,"Block Group 1, Census Tract 2102, Portsmouth city, Virginia",811,79,676,310,793,51,740,210200,1
4450,"Block Group 2, Census Tract 2116, Portsmouth city, Virginia",796,151,609,298,774,51,740,211600,2
4451,"Block Group 5, Census Tract 2116, Portsmouth city, Virginia",1023,114,860,477,980,51,740,211600,5
4452,"Block Group 2, Census Tract 107, Washington County, Virginia",1820,37,1677,633,1762,51,191,010700,2
4453,"Block Group 1, Census Tract 203, Richmond city, Virginia",549,445,50,211,502,51,760,020300,1
4454,"Block Group 1, Census Tract 607, Richmond city, Virginia",872,754,83,277,733,51,760,060700,1
4455,"Block Group 4, Census Tract 607, Richmond city, Virginia",1244,926,167,351,1004,51,760,060700,4
4456,"Block Group 1, Census Tract 103, Richmond city, Virginia",1599,1472,121,616,1378,51,760,010300,1
4457,"Block Group 3, Census Tract 209, Richmond city, Virginia",639,392,205,277,514,51,760,020900,3
4458,"Block Group 1, Census Tract 305, Richmond city, Virginia",2531,443,1698,1935,2460,51,760,030500,1
4459,"Block Group 2, Census Tract 704, Richmond city, Virginia",1151,100,970,497,1103,51,760,070400,2
4460,"Block Group 1, Census Tract 407, Richmond city, Virginia",2663,125,2398,1257,2520,51,760,040700,1
4461,"Block Group 1, Census Tract 709, Richmond city, Virginia",581,287,294,185,352,51,760,070900,1
4462,"Block Group 1, Census Tract 106, Richmond city, Virginia",2297,1443,636,810,2023,51,760,010600,1
4463,"Block Group 2, Census Tract 411, Richmond city, Virginia",1097,61,910,479,986,51,760,041100,2
4464,"Block Group 2, Census Tract 608, Richmond city, Virginia",1791,1497,197,561,1504,51,760,060800,2
4465,"Block Group 4, Census Tract 605, Richmond city, Virginia",1175,84,1077,456,882,51,760,060500,4
4466,"Block Group 3, Census Tract 605, Richmond city, Virginia",912,145,721,386,881,51,760,060500,3
4467,"Block Group 1, Census Tract 4914.01, Fairfax County, Virginia",1603,177,629,614,1553,51,059,491401,1
4468,"Block Group 2, Census Tract 4911.03, Fairfax County, Virginia",2370,418,1467,716,2370,51,059,491103,2
4469,"Block Group 1, Census Tract 402.01, Shenandoah County, Virginia",823,0,677,430,798,51,171,040201,1
4470,"Block Group 2, Census Tract 8701, Sussex County, Virginia",810,464,346,326,754,51,183,870100,2
4471,"Block Group 1, Census Tract 8703, Sussex County, Virginia",732,655,46,309,590,51,183,870300,1
4472,"Block Group 4, Census Tract 3001, Fairfax city, Virginia",1031,19,770,284,1023,51,600,300100,4
4473,"Block Group 2, Census Tract 3001, Fairfax city, Virginia",1170,141,813,447,1138,51,600,300100,2
4474,"Block Group 2, Census Tract 3003, Fairfax city, Virginia",2120,79,1363,1052,2120,51,600,300300,2
4475,"Block Group 2, Census Tract 3002, Fairfax city, Virginia",1576,31,1183,555,1576,51,600,300200,2
4476,"Block Group 2, Census Tract 1002.05, Chesterfield County, Virginia",2648,1469,855,1156,2552,51,041,100205,2
4477,"Block Group 3, Census Tract 1002.05, Chesterfield County, Virginia",3343,1833,1020,1147,3315,51,041,100205,3
4478,"Block Group 2, Census Tract 1008.15, Chesterfield County, Virginia",2977,819,1700,877,2929,51,041,100815,2
4479,"Block Group 2, Census Tract 1009.12, Chesterfield County, Virginia",1193,96,1054,530,1153,51,041,100912,2
4480,"Block Group 2, Census Tract 1003, Chesterfield County, Virginia",1275,303,857,417,1104,51,041,100300,2
4481,"Block Group 1, Census Tract 505, Richmond city, Virginia",1412,85,1306,655,1305,51,760,050500,1
4482,"Block Group 2, Census Tract 506, Richmond city, Virginia",1471,69,1363,600,1460,51,760,050600,2
4483,"Block Group 1, Census Tract 302, Patrick County, Virginia",355,0,355,224,328,51,141,030200,1
4484,"Block Group 1, Census Tract 1005.06, Chesterfield County, Virginia",776,153,623,226,776,51,041,100506,1
4485,"Block Group 4, Census Tract 19, Roanoke city, Virginia",1900,74,1598,855,1675,51,770,001900,4
4486,"Block Group 2, Census Tract 10, Roanoke city, Virginia",628,573,28,289,519,51,770,001000,2
4487,"Block Group 1, Census Tract 1, Roanoke city, Virginia",1098,831,215,382,742,51,770,000100,1
4488,"Block Group 2, Census Tract 12, Roanoke city, Virginia",1178,79,991,687,1046,51,770,001200,2
4489,"Block Group 1, Census Tract 22, Roanoke city, Virginia",1323,259,1034,554,1187,51,770,002200,1
4490,"Block Group 4, Census Tract 5, Roanoke city, Virginia",1302,328,757,426,1280,51,770,000500,4
4491,"Block Group 1, Census Tract 1009.22, Chesterfield County, Virginia",1630,338,1201,612,1510,51,041,100922,1
4492,"Block Group 2, Census Tract 1010.07, Chesterfield County, Virginia",1733,20,1666,728,1707,51,041,101007,2
4493,"Block Group 1, Census Tract 1009.24, Chesterfield County, Virginia",5192,261,4522,1850,5166,51,041,100924,1
4494,"Block Group 1, Census Tract 1004.03, Chesterfield County, Virginia",1296,306,883,452,1229,51,041,100403,1
4495,"Block Group 2, Census Tract 1008.06, Chesterfield County, Virginia",2246,1051,1024,714,2101,51,041,100806,2
4496,"Block Group 1, Census Tract 1009.23, Chesterfield County, Virginia",1497,161,1112,634,1394,51,041,100923,1
4497,"Block Group 3, Census Tract 9, Roanoke city, Virginia",1779,1265,307,683,1603,51,770,000900,3
4498,"Block Group 1, Census Tract 21, Roanoke city, Virginia",945,0,777,376,931,51,770,002100,1
4499,"Block Group 1, Census Tract 23, Roanoke city, Virginia",815,418,354,377,751,51,770,002300,1
4500,"Block Group 3, Census Tract 2803, Isle of Wight County, Virginia",1333,134,1103,504,1252,51,093,280300,3
4501,"Block Group 4, Census Tract 2804, Isle of Wight County, Virginia",727,40,652,331,665,51,093,280400,4
4502,"Block Group 3, Census Tract 2801.03, Isle of Wight County, Virginia",2049,284,1696,664,1996,51,093,280103,3
4503,"Block Group 3, Census Tract 803.01, James City County, Virginia",3368,791,2411,1286,3163,51,095,080301,3
4504,"Block Group 2, Census Tract 801.02, James City County, Virginia",3168,1202,1618,1020,2704,51,095,080102,2
4505,"Block Group 1, Census Tract 804.02, James City County, Virginia",4624,659,3852,1967,4569,51,095,080402,1
4506,"Block Group 2, Census Tract 2001.24, Henrico County, Virginia",2382,238,1975,982,2349,51,087,200124,2
4507,"Block Group 1, Census Tract 2004.06, Henrico County, Virginia",848,338,496,601,836,51,087,200406,1
4508,"Block Group 2, Census Tract 2004.06, Henrico County, Virginia",1958,193,1615,722,1860,51,087,200406,2
4509,"Block Group 2, Census Tract 2007, Henrico County, Virginia",996,0,884,729,635,51,087,200700,2
4510,"Block Group 3, Census Tract 2008.05, Henrico County, Virginia",1198,1010,90,460,829,51,087,200805,3
4511,"Block Group 2, Census Tract 2016.01, Henrico County, Virginia",1251,202,1038,475,1161,51,087,201601,2
4512,"Block Group 1, Census Tract 2001.21, Henrico County, Virginia",1228,0,1103,440,1210,51,087,200121,1
4513,"Block Group 2, Census Tract 8702.01, Sussex County, Virginia",853,274,557,420,672,51,183,870201,2
4514,"Block Group 2, Census Tract 2005.01, Henrico County, Virginia",1330,146,721,429,1288,51,087,200501,2
4515,"Block Group 2, Census Tract 101, Henry County, Virginia",849,233,616,419,721,51,089,010100,2
4516,"Block Group 1, Census Tract 7, Norfolk city, Virginia",994,289,678,465,972,51,710,000700,1
4517,"Block Group 1, Census Tract 11, Norfolk city, Virginia",1463,489,642,740,1358,51,710,001100,1
4518,"Block Group 3, Census Tract 4304, Fairfax County, Virginia",2188,42,1671,771,2188,51,059,430400,3
4519,"Block Group 1, Census Tract 4603, Fairfax County, Virginia",600,30,545,205,600,51,059,460300,1
4520,"Block Group 1, Census Tract 4520, Fairfax County, Virginia",3128,439,1528,1054,2945,51,059,452000,1
4521,"Block Group 2, Census Tract 31, Norfolk city, Virginia",489,373,59,151,482,51,710,003100,2
4522,"Block Group 1, Census Tract 31, Norfolk city, Virginia",1102,516,391,449,1043,51,710,003100,1
4523,"Block Group 2, Census Tract 23, Norfolk city, Virginia",939,15,733,412,934,51,710,002300,2
4524,"Block Group 1, Census Tract 56.01, Norfolk city, Virginia",490,0,449,215,473,51,710,005601,1
4525,"Block Group 1, Census Tract 66.03, Norfolk city, Virginia",1104,40,930,468,1080,51,710,006603,1
4526,"Block Group 1, Census Tract 70.02, Norfolk city, Virginia",1699,1093,512,737,1522,51,710,007002,1
4527,"Block Group 3, Census Tract 5, Norfolk city, Virginia",449,48,346,173,444,51,710,000500,3
4528,"Block Group 3, Census Tract 104, Henry County, Virginia",1284,638,412,502,1166,51,089,010400,3
4529,"Block Group 1, Census Tract 113, Henry County, Virginia",2323,279,1881,1062,1943,51,089,011300,1
4530,"Block Group 3, Census Tract 103, Henry County, Virginia",1733,1109,546,730,1530,51,089,010300,3
